2018/03/19 09:09:50 [error] 10341#0: *49 connect() failed (111: Connection refused) while connecting to upstream, client: 202.109.166.203, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:06 [error] 10341#0: *51 connect() failed (111: Connection refused) while connecting to upstream, client: 122.228.199.114, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:16 [error] 10341#0: *53 connect() failed (111: Connection refused) while connecting to upstream, client: 113.31.27.249, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:21 [error] 10341#0: *55 connect() failed (111: Connection refused) while connecting to upstream, client: 222.186.129.155, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:26 [error] 10341#0: *57 connect() failed (111: Connection refused) while connecting to upstream, client: 61.130.28.141, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:30 [error] 10341#0: *59 connect() failed (111: Connection refused) while connecting to upstream, client: 222.88.91.50, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:10:51 [error] 10341#0: *61 connect() failed (111: Connection refused) while connecting to upstream, client: 202.109.166.200, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:11:06 [error] 10341#0: *63 connect() failed (111: Connection refused) while connecting to upstream, client: 122.228.199.114, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:11:16 [error] 10341#0: *65 connect() failed (111: Connection refused) while connecting to upstream, client: 113.31.27.249, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:11:21 [error] 10341#0: *67 connect() failed (111: Connection refused) while connecting to upstream, client: 222.186.129.155, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
